Transaction ID,Date,Items
1,1/24/2020,carrot
2,1/24/2020,"bacon, peanut butter"
3,1/24/2020,"milk, chicken, cheese, carrot"
4,1/24/2020,"bacon, peanut butter, bread"
5,1/25/2020,"bacon, chicken, milk"
6,1/25/2020,"eggs, milk, bread"
7,1/25/2020,"beans, eggs, milk"
8,1/26/2020,"cheese, apple, banana"
9,1/26/2020,"bread, milk, beans"
10,1/26/2020,"cake mix, beans, milk"
11,1/27/2020,"chicken, beans, cheese, eggs"
12,1/27/2020,"eggs, bread"
13,1/28/2020,"ice cream, milk"
14,1/28/2020,"cake mix, beans, bread, peanut butter"
15,1/29/2020,"bacon, eggs, milk, bread"
16,1/29/2020,"cake mix, ice cream, beans"
17,1/30/2020,"bacon, peanut butter"
18,1/30/2020,"cake mix, milk"
19,1/30/2020,"bread, peanut butter, bacon, milk"
20,1/30/2020,"bread, bacon"
